Time_stamp	epoch	train_loss	val_loss	epoch_time	learing_rate
358	0.166888	0.181759	104.995s	0.001	2020-04-23 09:37:41
359	0.168426	0.182631	98.4138s	0.001	2020-04-23 09:39:19
360	0.169958	0.184517	106.142s	0.001	2020-04-23 09:41:06
361	0.169427	0.183601	109.389s	0.001	2020-04-23 09:42:55
362	0.167462	0.184903	97.1433s	0.001	2020-04-23 09:44:32
363	0.167089	0.180798	107.541s	0.001	2020-04-23 09:46:20
364	0.166599	0.182185	108.136s	0.001	2020-04-23 09:48:08
365	0.166852	0.181716	106.435s	0.001	2020-04-23 09:49:55
366	0.16758	0.183986	108.934s	0.001	2020-04-23 09:51:44
367	0.166745	0.181764	99.7341s	0.001	2020-04-23 09:53:23
368	0.168839	0.183396	113s	0.001	2020-04-23 09:55:16
369	0.170178	0.181709	127.75s	0.001	2020-04-23 09:57:24
370	0.176567	0.196966	118.002s	0.001	2020-04-23 09:59:22
371	0.173617	0.190555	118.157s	0.001	2020-04-23 10:01:21
372	0.17182	0.188693	118.106s	0.001	2020-04-23 10:03:19
373	0.168633	0.184056	106.508s	0.001	2020-04-23 10:05:05
374	0.168413	0.183787	113.27s	0.001	2020-04-23 10:06:59
375	0.168882	0.186093	120.445s	0.001	2020-04-23 10:08:59
376	0.168534	0.182958	107.16s	0.001	2020-04-23 10:10:46
377	0.167778	0.181686	115.498s	0.001	2020-04-23 10:12:42
378	0.168002	0.180013	109.281s	0.001	2020-04-23 10:14:31
379	0.169776	0.180901	128.918s	0.001	2020-04-23 10:16:40
380	0.171263	0.184658	116.024s	0.001	2020-04-23 10:18:36
381	0.167992	0.182436	109.907s	0.001	2020-04-23 10:20:26
382	0.167215	0.182584	119.524s	0.001	2020-04-23 10:22:26
383	0.167063	0.182481	116.363s	0.001	2020-04-23 10:24:22
384	0.167665	0.182611	116.429s	0.001	2020-04-23 10:26:19
385	0.166625	0.180829	102.075s	0.001	2020-04-23 10:28:01
386	0.16736	0.178269	104.286s	0.001	2020-04-23 10:29:45
387	0.169054	0.189027	107.507s	0.001	2020-04-23 10:31:33
388	0.169275	0.183535	104.655s	0.001	2020-04-23 10:33:17
389	0.173216	0.192926	84.9248s	0.001	2020-04-23 10:34:42
390	0.170838	0.185394	84.3092s	0.001	2020-04-23 10:36:07
391	0.168831	0.181554	85.8205s	0.001	2020-04-23 10:37:33
392	0.167486	0.182943	102.038s	0.001	2020-04-23 10:39:15
393	0.168385	0.182492	103.718s	0.001	2020-04-23 10:40:58
394	0.167741	0.181331	93.9576s	0.001	2020-04-23 10:42:32
395	0.167419	0.181726	81.2459s	0.001	2020-04-23 10:43:54
396	0.167882	0.188369	82.5663s	0.001	2020-04-23 10:45:16
397	0.168063	0.181889	86.352s	0.001	2020-04-23 10:46:43
398	0.168262	0.18109	93.9008s	0.001	2020-04-23 10:48:17
399	0.166928	0.183337	97.4006s	0.001	2020-04-23 10:49:54
400	0.169484	0.184804	96.225s	0.001	2020-04-23 10:51:31
401	0.167726	0.181952	96.8209s	0.001	2020-04-23 10:53:08
402	0.166944	0.182902	88.2471s	0.001	2020-04-23 10:54:36
403	0.16784	0.192223	88.6886s	0.001	2020-04-23 10:56:05
404	0.170061	0.183581	96.1973s	0.001	2020-04-23 10:57:41
405	0.169954	0.187113	106.304s	0.001	2020-04-23 10:59:27
406	0.172325	0.181688	98.9384s	0.001	2020-04-23 11:01:06
